question_id,question_fa,question_en,gold_answer,question_mode,sheet_name
37,کدام‌یک از اشخاص زیر از ستاره‌شناسان ایرانی دوره سلجوقیان بوده است؟ الف) یحیی ابن ابی منصور ب) منوچهر ستوده ج) حسن صباح د) نصیرالدین طوسی,Which of the following was an Iranian astronomer of the Seljuk period? A) Yahya ibn Abi Mansur B) Manouchehr Sotodeh C) Hasan-i Sabbah D) Nasir al-Din al-Tusi,C,MCQ,Atomic-MCQ
38,کدام‌یک از اشخاص زیر از موسیقی‌دانان ایرانی دوره سلجوقیان بوده است؟ الف) امام محمد غزالی ب) کیهان کلهر ج) عمر خیام د) حسین علیزاده,Which of the following was an Iranian musician of the Seljuk period? A) Al-Ghazali B) Kayhan Kalhor C) Omar Khayyám D) Hossein Alizadeh,C,MCQ,Atomic-MCQ
39,کدام‌یک از اشخاص زیر رپر ایرانی است؟ الف) محمدرضا شجریان ب) بهنام بانی ج) رضا پیشرو د) مهران مدیری,Which of the following is an Iranian rapper? A) Mohammad-Reza Shajarian B) Behnam Bani C) Reza Pishro D) Mehran Modiri,C,MCQ,Atomic-MCQ
40,کدام‌یک از اشخاص زیر ترانه‌سرای ایرانی است؟ الف) فروغ فرخزاد ب) عباس کیارستمی ج) مریم حیدرزاده د) بهرام بیضایی,Which of the following is an Iranian lyricist? A) Forugh Farrokhzad B) Abbas Kiarostami C) Maryam Heydarzadeh D) Bahram Beyzai,C,MCQ,Atomic-MCQ
41,کدام‌یک از اشخاص زیر خواننده ایرانی در ژانر هیپ‌‎هاپ است؟ الف) محسن یگانه ب) داریوش ج) سوگند د) غلامحسین بنان,Which of the following is an Iranian singer in the hip-hop genre? A) Mohsen Yeganeh B) Dariush C) Sogand D) Gholam-Hossein Banan,C,MCQ,Atomic-MCQ
42,کدام‌یک از اشخاص زیر خواننده ایرانی در ژانر راک است؟ الف) ساسی مانکان ب) امیر تتلو ج) کوروش یغمایی د) حسین تهی,Which of the following is an Iranian singer in the rock genre? A) Sasy Mankan B) Amir Tataloo C) Kourosh Yaghmaei D) Hossein Tohi,C,MCQ,Atomic-MCQ
43,کدام‌یک از اشخاص زیر خواننده ایرانی در ژانر بلوز است؟ الف) حسن شماعی‌زاده ب) شهرام شب‌پره ج) فرهاد مهراد د) اندی,Which of the following is an Iranian singer in the blues genre? A) Hassan Shamaizadeh B) Shahram Shabpareh C) Farhad Mehrad D) Andy,C,MCQ,Atomic-MCQ
44,کدام‌یک از اشخاص زیر گیتاریست ایرانی است؟ الف) جلیل شهناز ب) کیهان کلهر ج) سیروان خسروی د) پرویز مشکاتیان,Which of the following is an Iranian guitarist? A) Jalil Shahnaz B) Kayhan Kalhor C) Sirvan Khosravi D) Parviz Meshkatian,C,MCQ,Atomic-MCQ
45,کدام‌یک از اشخاص زیر پیانیست ایرانی است؟ الف) حسین تهرانی ب) ابوالحسن صبا ج) جواد معروفی د) محمدرضا لطفی,Which of the following is an Iranian pianist? A) Hossein Tehrani B) Abolhasan Saba C) Javad Maroufi D) Mohammad Reza Lotfi,C,MCQ,Atomic-MCQ
46,کدام‌یک از اشخاص زیر منتقد فیلم ایرانی است؟ الف) مهران مدیری ب) رامبد جوان ج) رضا عطاران د) مسعود فراستی,Which of the following is an Iranian film critic? A) Mehran Modiri B) Rambod Javan C) Reza Attaran D) Massoud Farassati,D,MCQ,Atomic-MCQ
47,کدام‌یک از اشخاص زیر پژوهشگر مطالعات فرهنگی ایرانی است؟ الف) امیرحسین قیاثی ب) سروش صحت ج) هادی ساعی د) میلاد دخانچی,Which of the following is an Iranian cultural studies researcher? A) Amirhossein Ghiasi B) Soroush Sehhat C) Hadi Saei D) Milad Dokhanchi,D,MCQ,Atomic-MCQ
48,کدام‌یک از اشخاص زیر مستندساز ایرانی است؟ الف) محمد فاضلی ب) مسعود کیمیایی ج) مسعود فراستی د) اُرُد عطارپور,Which of the following is an Iranian documentary filmmaker? A) Mohammad Fazeli B) Masoud Kimiai C) Massoud Farassati D) Orod Attarpour,D,MCQ,Atomic-MCQ
49,کدام‌یک از اشخاص زیر تهیه‌کننده تلویزیونی ایرانی است؟ الف) علی دایی ب) پژمان جمشیدی ج) نوید محمدزاده د) مهران مهام,Which of the following is an Iranian television producer? A) Ali Daei B) Pejman Jamshidi C) Navid Mohammadzadeh D) Mehran Maham,D,MCQ,Atomic-MCQ
50,کدام‌یک از اشخاص زیر نقاش زن ایرانی است؟ الف) سیمین بهبهانی ب) پروین اعتصامی ج) فروغ فرخزاد د) ایران درودی,Which of the following is an Iranian female painter? A) Simin Behbahani B) Parvin Etesami C) Forough Farrokhzad D) Iran Darroudi,D,MCQ,Atomic-MCQ
51,کدام‌یک از اشخاص زیر هنرمند تجسمی ایرانی است؟ الف) علی حاتمی ب) سیمین دانشور ج) داریوش مهرجویی د) مینو امامی,Which of the following is an Iranian visual artist? A) Ali Hatami B) Simin Daneshvar C) Dariush Mehrjui D) Minoo Emami,D,MCQ,Atomic-MCQ
52,کدام‌یک از اشخاص زیر مینیاتوریست ایرانی است؟ الف) کمال‌الملک ب) سهراب سپهری ج) آیدین آغداشلو د) محمود فرشچیان,Which of the following is an Iranian miniaturist? A) Kamal-ol-Molk B) Sohrab Sepehri C) Aidin Aghdashloo D) Mahmoud Farshchian,D,MCQ,Atomic-MCQ
53,کدام‌یک از اشخاص زیر مدرس هنر ایرانی است؟ الف) ابوطالب حسینی ب) ناصر حجازی ج) آتنا فرقدانی د) جلال شباهنگی,Which of the following is an Iranian art educator? A) Abutaleb Hosseini B) Nasser Hejazi C) Atena Farghadani D) Jalal Shabahangi,D,MCQ,Atomic-MCQ
54,کدام‌یک از اشخاص زیر هنرمند مفهومی ایرانی است؟ الف) کمال‌الملک ب) محمود فرشچیان ج) بهزاد د) باربد گلشیری,Which of the following is an Iranian conceptual artist? A) Kamal-ol-Molk B) Mahmoud Farshchian C) Behzad D) Barbad Golshiri,D,MCQ,Atomic-MCQ
55,کدام‌یک از اشخاص زیر هنرمند چیدمان ایرانی است؟ الف) رضا عطاران ب) آتنا فرقدانی ج) جعفر پناهی د) شیرازه هوشیاری,Which of the following is an Iranian installation artist? A) Reza Attaran B) Atena Farghadani C) Jafar Panahi D) Shirazeh Houshiary,D,MCQ,Atomic-MCQ
56,کدام‌یک از اشخاص زیر هنرمند انتزاعی ایرانی است؟ الف) محمود فرشچیان ب) کمال‌الملک ج) ایمان ملکی د) محمدهادی جمالی,Which of the following is an Iranian abstract artist? A) Mahmoud Farshchian B) Kamal-ol-Molk C) Iman Maleki D) Mohammad Hadi Jamali,D,MCQ,Atomic-MCQ
57,کدام‌یک از اشخاص زیر نقاش دیواری (مورالیست) ایرانی است؟ الف) کمال‌الملک ب) بهزاد ج) محمود فرشچیان د) مهدی قدیانلو,Which of the following is an Iranian muralist? A) Kamal-ol-Molk B) Behzad C) Mahmoud Farshchian D) Mehdi Ghadyanloo,D,MCQ,Atomic-MCQ
58,کدام‌یک از اشخاص زیر عکاس زن ایرانی است؟ الف) لیلا حاتمی ب) تهمینه میلانی ج) سیمین دانشور د) نیوشا توکلیان,Which of the following is an Iranian female photographer? A) Leila Hatami B) Tahmineh Milani C) Simin Daneshvar D) Newsha Tavakolian,D,MCQ,Atomic-MCQ
59,کدام‌یک از اشخاص زیر هنرمند ویدئویی ایرانی است؟ الف) گوهر خیراندیش ب) مریم حیدرزاده ج) مهستی د) شیرین نشاط,Which of the following is an Iranian video artist? A) Gohar Kheirandish B) Maryam Heydarzadeh C) Mahasti D) Shirin Neshat,D,MCQ,Atomic-MCQ
60,کدام‌یک از موارد زیر فیلمی با بازی ترانه علیدوستی است؟ الف) فسیل ب) گذشته ج) همه می‌دانند د) فروشنده,Which of the following films features Taraneh Alidoosti? A) Fossil B) The Past C) Everybody Knows D) The Salesman,D,MCQ,Atomic-MCQ
61,کدام‌یک از موارد زیر فیلمی است که هم توسط اصغر فرهادی کارگردانی شده و هم شهاب حسینی در آن بازی کرده است؟ الف) فروشنده ب) قهرمان ج) حوض نقاشی د) سوپراستار,Which of the following movies was directed by Asghar Farhadi and features Shahab Hosseini as an actor? A) The Salesman B) A Hero C) The Painting Pool D) The Superstar,A,MCQ,single-op-MCQ
62,کدام‌یک از موارد زیر فیلمی است که هم توسط اصغر فرهادی کارگردانی شده و هم گلشیفته فراهانی در آن بازی کرده است؟ الف) درباره الی ب) میم مثل مادر ج) فروشنده د) چهارشنبه‌سوری,Which of the following movies was directed by Asghar Farhadi and features Golshifteh Farahani as an actor? A) About Elly B) M like Mother C) The Salesman D) The Fireworks Wednesday,A,MCQ,single-op-MCQ
63,کدام‌یک از فیلم‌های زیر با بازی هم شهاب حسینی و هم گلشیفته فراهانی است؟ الف) درباره الی ب) جدایی نادر از سیمین ج) فروشنده د) استخراج ۲,Which of the following films features both Shahab Hosseini and Golshifteh Farahani? A) About Elly B) A Separation C) The Salesman D) Extraction 2,A,MCQ,single-op-MCQ
64,کدام‌یک از بازیگران زیر یا در فیلم‌های آژانس شیشه‌ای یا درباره الی بازی کرده‌اند؟ الف) پرویز پرستویی ب) ساره بیات ج) لیلا حاتمی د) بابک کریمی,Which of the following actors appeared in either The Glass Agency or About Elly? A) Parviz Parastui B) Sareh Bayat C) Leila Hatami D) Babak Karimi,A,MCQ,single-op-MCQ
65,کدام‌یک از بازیگران ایرانی زیر یا در فیلم درباره الی یا جدایی نادر از سیمین بازی کرده است؟ الف) پیمان معادی ب) پرویز پرستویی ج) رضا کیانیان د) قاسم زارع,Which of the following Iranian actors appeared in either About Elly or A Separation? A) Payman Maadi B) Parviz Parastui C) Reza Kianian D) Qasem Zareh,A,MCQ,single-op-MCQ
66,کدام‌یک از بازیگران ایرانی زیر یا در فیلم آژانس شیشه‌ای یا جدایی نادر از سیمین بازی کرده است؟ الف) ساره بیات ب) گلشیفته فراهانی ج) ترانه علیدوستی د) مانی حقیقی,Which of the following Iranian actors appeared in either The Glass Agency or A Separation? A) Sareh Bayat B) Golshifteh Farahani C) Taraneh Alidoosti D) Mani Haghighi,A,MCQ,single-op-MCQ
67,کدام‌یک از بازیگران ایرانی زیر هم در فیلم درباره الی و هم در فیلم جدایی نادر از سیمین بازی کرده است؟ الف) شهاب حسینی ب) گلشیفته فراهانی ج) ترانه علیدوستی د) ساره بیات,Which of the following Iranian actors appeared in both About Elly and A Separation? A) Shahab Hosseini B) Golshifteh Farahani C) Taraneh Alidoosti D) Sareh Bayat,A,MCQ,single-op-MCQ
68,کدام‌یک از شهرهای زیر در ایران هم مرکز استان است و هم حداقل یک دانشگاه دارد؟ الف) ارومیه ب) جهرم ج) آبادان د) بابل,Which of the following cities in Iran is both a provincial capital and has at least one university? A) Urmia B) Jahrom C) Abadan D) Babol,A,MCQ,single-op-MCQ
69,کدام‌یک از شهرهای زیر در ایران هم دانشگاه دارد و هم موزه؟ الف) گرگان ب) ساری ج) قزوین د) یزد,Which of the following cities in Iran has both a university and a museum? A) Gorgan B) Sari C) Qazvin D) Yazd,A,MCQ,single-op-MCQ
70,کدام‌یک از رودخانه‌های زیر در ایران هم بیش از ۱۰۰ کیلومتر طول دارد و هم در استان مازندران واقع شده است؟ الف) رود هراز ب) زاینده‌رود ج) کارون د) سفیدرود,Which of the following rivers in Iran is both longer than 100 kilometers and located in Mazandaran Province? A) Haraz River B) Zayandeh River C) Karun River D) Sefid Rud,A,MCQ,single-op-MCQ
71,کدام‌یک از کوه‌های زیر در ایران هم بیش از ۴۰۰۰ متر ارتفاع دارد و هم در استان مازندران واقع شده است؟ الف) علم‌کوه ب) دنا ج) زردکوه د) سبلان,"Which of the following mountains in Iran is both higher than 4,000 meters and located in Mazandaran Province? A) Alam-Kuh B) Dena C) Zard Kuh D) Sabalan",A,MCQ,single-op-MCQ
72,کدام‌یک از رودخانه‌های ایران یا طولش بیش از ۱۰۰ کیلومتر است یا در استان مازندران واقع شده است؟ الف) کارون ب) رود کرج ج) رود جاجرود د) رود بار,Which of the following rivers in Iran is either longer than 100 kilometers or located in Mazandaran Province? A) Karun River B) Karaj River C) Jajrood River D) Bar River,A,MCQ,single-op-MCQ
73,کدام‌یک از کوه‌های ایران یا ارتفاعش بیش از ۴۰۰۰ متر است یا در استان مازندران واقع شده است؟ الف) دماوند ب) کوه آریا  ج) آربابا د) کوه بلقیس,Which of the following mountains of Iran is either over 4000 meters high or located in Mazandaran Province? A) Damavand B) Mount Aria C) Arbaba D) Mount Belqeys,A,MCQ,single-op-MCQ
74,کدام‌یک از رمان‌نویسان ایرانی زیر هم زن است و هم پس از سال ۱۹۷۰ میلادی متولد شده است؟ الف) لیلا صادقی ب) سیمین دانشور ج) شهرنوش پارسی‌پور د) زویا پیرزاد,Which of the following Iranian novelists is both a woman and born after 1970? A) Leila Sadeghi B) Simin Daneshvar C) Shahrnush Parsipur D) Zoya Pirzad,A,MCQ,single-op-MCQ
75,کدام‌یک از موارد زیر هم رمان‌نویس زن است و هم شاعر متولد بعد از ۱۹۸۰؟ الف) عالیه عطایی ب) هیلا صدیقی ج) دل‌آرا دارابی د) اندیشه فولادوند,Which of the following is both a female novelist and a poet born after 1980? A) Aliyeh Ataei B) Hila Sedighi C) Delara Darabi D) Andisheh Fouladvand,A,MCQ,single-op-MCQ
76,کدام‌یک از افراد زیر هم شاعر و هم رمان‌نویس ایرانی است و پس از سال ۱۹۸۰ میلادی متولد شده است؟ الف) پیام فیلی ب) احمد بیرانوند ج) غزاله علیزاده د) حامد عسکری,Which of the following Iranian individuals is both a novelist and a poet and was born after 1980? A) Payam Feili B) Ahmad Beiranvand C) Ghazaleh Alizadeh D) Hamed Askari,A,MCQ,single-op-MCQ
77,کدام‌یک از رمان‌نویسان ایرانی یا زن است یا پس از سال ۱۹۷۰ میلادی متولد شده است؟ الف) زویا پیرزاد ب) رضا امیرخانی ج) مهناز افشار د) عباس معروفی,Which of the following Iranian novelists is either female or born after 1970 AD? A) Zoya Pirzad B) Reza Amirkhani C) Mahnaz Afshar D) Abbas Maroufi,A,MCQ,single-op-MCQ
78,کدام‌یک از افراد ایرانی زیر یا رمان‌نویس متولد پس از سال ۱۹۷۰ است یا شاعری است که پس از سال ۱۹۸۰ به دنیا آمده است؟ الف) کاوه مدیدی ب) مریم حیدرزاده ج) اهورا ایمان د) یغما گلرویی,Which of the following Iranian individuals is either a novelist born after 1970 or a poet born after 1980? A) Kaweh Modiri B) Maryam Heydarzadeh C) Ahoora Iman D) Yaghma Golrouee,A,MCQ,single-op-MCQ
79,کدام‌یک از برج‌های زیر هم برج دیدبانی  و هم برج مخابراتی است؟ الف) برج میلاد ب) برج سیاه و سفید ج) برج شیتور د) برج آزادی,Which of the following towers in Iran satisfies being both an observation tower and a communication tower? A) Milad Tower B) Black and White Tower C) Sheytur Tower D) Azadi Tower,A,MCQ,single-op-MCQ
80,کدام‌یک از برج‌های زیر هم برج مخابراتی و هم قربانگاه است؟ الف) برج قربان (اصفهان) ب) برج سیاه و سفید ج) محراب برم‌دلک د) نقش‌برجسته کورانگون,Which of the following towers in Iran is both a communication tower and an altar? A) Qorban Tower (Isfahan) B) Black and White Tower C) Altar in Barm-e Dilak D) Relief of Kurangun,A,MCQ,single-op-MCQ
81,کدام‌یک از سازه‌های زیر در ایران یا برج دیدبانی یا برج مخابراتی است؟ الف) برج میلاد ب) سی‌وسه پل ج) پل خواجو د) کاخ عالی‌قاپو,Which of the following structures in Iran is either an observation tower or a communication tower? A) Milad Tower B) Si-o-se Pol C) Khaju Bridge D) Ali Qapu,A,MCQ,single-op-MCQ
82,کدام‌یک از سازه‌های زیر در ایران یا برج دیدبانی یا قربانگاه است؟ الف) نقش‌برجسته کورانگون ب) کاخ چهل‌ستون ج) منارجنبان د) برج سیاه و سفید,Which of the following structures in Iran is either an observation tower or an altar? A) Relief of Kurangun B) Chehel Sotun C) Menar Jonban D) Black and White Tower,A,MCQ,single-op-MCQ
83,کدام‌یک از سازه‌های ایران یا برج دیدبانی یا اثر شاخص معماری است؟ الف) دروازه قرآن ب) سد کرج ج) فرودگاه امام د) تونل توحید,Which of the following structures in Iran are either an observation tower or a notable architectural work? A) Qur'an Gate B) Karaj Dam C) Imam Airport D) Tohid Tunnel,A,MCQ,single-op-MCQ
